Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      8.09     0.00  1313282     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      8.09     0.00  1057832     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      8.09     0.00   810619     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      8.09     0.00   596024     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      8.09     0.00   394498     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      8.09     0.00   393985     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      8.09     0.00   393780     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00      8.09     0.00   267806     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      8.09     0.00   263687     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      8.09     0.00   263686     0.00     0.00  bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00   263686     0.00     0.00  std::vector<int, std::allocator<int> >::empty() const
  0.00      8.09     0.00   263683     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      8.09     0.00   263683     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      8.09     0.00   263683     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      8.09     0.00   263682     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      8.09     0.00   263682     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      8.09     0.00   263682     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      8.09     0.00   263682     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      8.09     0.00   263682     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      8.09     0.00   263174     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      8.09     0.00   263172     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      8.09     0.00   263172     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      8.09     0.00   263170     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      8.09     0.00   263169     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      8.09     0.00   262659     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      8.09     0.00   262658     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      8.09     0.00   262657     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      8.09     0.00   262657     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      8.09     0.00   262657     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      8.09     0.00   262656     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00   262656     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      8.09     0.00   262248     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      8.09     0.00   196992     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      8.09     0.00   185701     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00   131844     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      8.09     0.00   131842     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      8.09     0.00   131329     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      8.09     0.00   131329     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      8.09     0.00   131329     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      8.09     0.00   131329     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      8.09     0.00   131329     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00   131328     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator<int*>(__gnu_cxx::__normal_iterator<int*, __gnu_cxx::__enable_if<std::__are_same<int*, int*>::__value, std::vector<int, std::allocator<int> > >::__type> const&)
  0.00      8.09     0.00   131328     0.00     0.00  std::vector<int, std::allocator<int> >::cbegin() const
  0.00      8.09     0.00   131328     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00      8.09     0.00   131328     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      8.09     0.00   131328     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.00      8.09     0.00   131124     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      8.09     0.00    65665     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--()
  0.00      8.09     0.00    65665     0.00     0.00  bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00    65664     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      8.09     0.00    65664     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      8.09     0.00    65562     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      8.09     0.00    65562     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*)
  0.00      8.09     0.00    65562     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      8.09     0.00    65562     0.00     0.00  int* std::__copy_move_a1<true, int*, int*>(int*, int*, int*)
  0.00      8.09     0.00    65562     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      8.09     0.00    65562     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::move<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      8.09     0.00    31407     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      8.09     0.00    18020     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      8.09     0.00    11838     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      8.09     0.00    11331     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      8.09     0.00    11327     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      8.09     0.00    11327     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      8.09     0.00    10811     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      8.09     0.00    10298     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      8.09     0.00    10298     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      8.09     0.00    10298     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
