Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       4/131844      std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() [137]
                0.00    0.00       4/1031        std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*) [182]
                0.00    0.00       4/4128        std::_Deque_iterator<int, int&, int*>::_M_set_node(int**) [176]
-----------------------------------------------
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&) [97]
[96]     0.0    0.00    0.00       1         std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [96]
                0.00    0.00       1/263683      std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [58]
                0.00    0.00       1/1           std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long) [314]
                0.00    0.00       1/2           std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long) [284]
                0.00    0.00       1/3           unsigned long* std::__addressof<unsigned long>(unsigned long&) [259]
                0.00    0.00       1/263683      std::operator+(std::_Bit_iterator const&, long) [118]
-----------------------------------------------
                0.00    0.00       1/1           Graph::Graph::Connected() const [41]
[97]     0.0    0.00    0.00       1         std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&) [97]
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [96]
                0.00    0.00       1/1           std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&) [319]
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::_M_initialize_value(bool) [337]
-----------------------------------------------
                0.00    0.00 3814024/3814024     int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [16]
[104]    0.0    0.00    0.00 3814024         std::uniform_int_distribution<int>::param_type::b() const [104]
-----------------------------------------------
                0.00    0.00     514/2036827     main [1]
                0.00    0.00     515/2036827     Graph::Graph::isEulerianCircuit() const [9]
                0.00    0.00    1026/2036827     Graph::Graph::getVertexDegree(int) const [88]
                0.00    0.00 2034772/2036827     Graph::Graph::hasEdge(int, int) const [2]
[105]    0.0    0.00    0.00 2036827         Graph::Graph::numOfVertices() const [105]
-----------------------------------------------
                0.00    0.00       2/1431920     bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [300]
                0.00    0.00   10298/1431920     void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [76]
                0.00    0.00  131328/1431920     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator<int*>(__gnu_cxx::__normal_iterator<int*, __gnu_cxx::__enable_if<std::__are_same<int*, int*>::__value, std::vector<int, std::allocator<int> > >::__type> const&) [140]
                0.00    0.00  131330/1431920     bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [143]
                0.00    0.00  262248/1431920     int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [134]
                0.00    0.00  371402/1431920     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [136]
                0.00    0.00  525312/1431920     bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [132]
[106]    0.0    0.00    0.00 1431920         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [106]
-----------------------------------------------
                0.00    0.00  131328/1388938     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const [45]
                0.00    0.00  267806/1388938     std::vector<int, std::allocator<int> >::begin() [114]
                0.00    0.00  393780/1388938     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const [113]
                0.00    0.00  596024/1388938     std::vector<int, std::allocator<int> >::end() [111]
[107]    0.0    0.00    0.00 1388938         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [107]
-----------------------------------------------
                0.00    0.00  262656/1313282     Graph::Graph::addEdge(int, int) [10]
                0.00    0.00 1050626/1313282     Graph::Graph::isEulerianCircuit() const [9]
[108]    0.0    0.00    0.00 1313282         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [108]
-----------------------------------------------
                0.00    0.00    1029/1057832     void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&) [77]
                0.00    0.00    5149/1057832     void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [76]
                0.00    0.00  525827/1057832     void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [34]
                0.00    0.00  525827/1057832     void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&) [37]
[109]    0.0    0.00    0.00 1057832         int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [109]
-----------------------------------------------
                0.00    0.00     513/810619      std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [87]
                0.00    0.00    1026/810619      Graph::Graph::getVertexDegree(int) const [88]
                0.00    0.00   20596/810619      std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [175]
                0.00    0.00  262659/810619      main [1]
                0.00    0.00  525825/810619      Graph::Graph::printGraph() const [42]
[110]    0.0    0.00    0.00  810619         std::vector<int, std::allocator<int> >::size() const [110]
-----------------------------------------------
                0.00    0.00    5149/596024      std::vector<int, std::allocator<int> >::push_back(int const&) [38]
                0.00    0.00  131328/596024      std::vector<int, std::allocator<int> >::back() [43]
                0.00    0.00  196890/596024      std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [70]
                0.00    0.00  262657/596024      Graph::Graph::isEulerianCircuit() const [9]
[111]    0.0    0.00    0.00  596024         std::vector<int, std::allocator<int> >::end() [111]
                0.00    0.00  596024/1388938     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [107]
-----------------------------------------------
                0.00    0.00  394498/394498      void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*) [57]
[112]    0.0    0.00    0.00  394498         void __gnu_cxx::new_allocator<int>::destroy<int>(int*) [112]
-----------------------------------------------
                0.00    0.00   65562/393780      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*) [146]
                0.00    0.00  131328/393780      std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [44]
                0.00    0.00  196890/393780      std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [70]
[113]    0.0    0.00    0.00  393780         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const [113]
                0.00    0.00  393780/1388938     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [107]
-----------------------------------------------
                0.00    0.00    5149/267806      void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [76]
                0.00    0.00  131328/267806      std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [44]
                0.00    0.00  131329/267806      Graph::Graph::isEulerianCircuit() const [9]
[114]    0.0    0.00    0.00  267806         std::vector<int, std::allocator<int> >::begin() [114]
                0.00    0.00  267806/1388938     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [107]
-----------------------------------------------
                0.00    0.00       4/263687      std::_Bit_iterator::_Bit_iterator() [251]
                0.00    0.00  263683/263687      std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [58]
[115]    0.0    0.00    0.00  263687         std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [115]
-----------------------------------------------
                0.00    0.00  263683/263683      std::operator+(std::_Bit_iterator const&, long) [118]
[116]    0.0    0.00    0.00  263683         std::_Bit_iterator::operator+=(long) [116]
                0.00    0.00  263683/263683      std::_Bit_iterator_base::_M_incr(long) [117]
-----------------------------------------------
                0.00    0.00  263683/263683      std::_Bit_iterator::operator+=(long) [116]
[117]    0.0    0.00    0.00  263683         std::_Bit_iterator_base::_M_incr(long) [117]
-----------------------------------------------
                0.00    0.00       1/263683      std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [96]
                0.00    0.00  263682/263683      std::_Bit_iterator::operator[](long) const [120]
[118]    0.0    0.00    0.00  263683         std::operator+(std::_Bit_iterator const&, long) [118]
                0.00    0.00  263683/263683      std::_Bit_iterator::operator+=(long) [116]
-----------------------------------------------
                0.00    0.00  263682/263682      std::_Bit_iterator::operator[](long) const [120]
[119]    0.0    0.00    0.00  263682         std::_Bit_iterator::operator*() const [119]
                0.00    0.00  263682/263682      std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [121]
-----------------------------------------------
                0.00    0.00  263682/263682      std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [62]
[120]    0.0    0.00    0.00  263682         std::_Bit_iterator::operator[](long) const [120]
                0.00    0.00  263682/263683      std::operator+(std::_Bit_iterator const&, long) [118]
                0.00    0.00  263682/263682      std::_Bit_iterator::operator*() const [119]
-----------------------------------------------
                0.00    0.00  263682/263682      std::_Bit_iterator::operator*() const [119]
[121]    0.0    0.00    0.00  263682         std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [121]
-----------------------------------------------
                0.00    0.00     515/263174      std::deque<int, std::allocator<int> >::begin() [206]
                0.00    0.00  262659/263174      std::deque<int, std::allocator<int> >::end() [127]
[122]    0.0    0.00    0.00  263174         std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&) [122]
-----------------------------------------------
                0.00    0.00     514/263172      std::queue<int, std::deque<int, std::allocator<int> > >::empty() const [208]
                0.00    0.00  262658/263172      std::stack<int, std::deque<int, std::allocator<int> > >::empty() const [128]
[123]    0.0    0.00    0.00  263172         std::deque<int, std::allocator<int> >::empty() const [123]
                0.00    0.00  263172/263172      std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&) [124]
-----------------------------------------------
                0.00    0.00  263172/263172      std::deque<int, std::allocator<int> >::empty() const [123]
[124]    0.0    0.00    0.00  263172         std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&) [124]
-----------------------------------------------
                0.00    0.00     513/263170      std::deque<int, std::allocator<int> >::front() [218]
                0.00    0.00  262657/263170      std::deque<int, std::allocator<int> >::back() [130]
[125]    0.0    0.00    0.00  263170         std::_Deque_iterator<int, int&, int*>::operator*() const [125]
-----------------------------------------------
                0.00    0.00  263169/263169      Graph::Graph::Connected() const [41]
[126]    0.0    0.00    0.00  263169         std::_Bit_reference::operator bool() const [126]
-----------------------------------------------
                0.00    0.00       2/262659      std::deque<int, std::allocator<int> >::~deque() [288]
                0.00    0.00  262657/262659      std::deque<int, std::allocator<int> >::back() [130]
[127]    0.0    0.00    0.00  262659         std::deque<int, std::allocator<int> >::end() [127]
                0.00    0.00  262659/263174      std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&) [122]
-----------------------------------------------
                0.00    0.00  262658/262658      Graph::Graph::isEulerianCircuit() const [9]
[128]    0.0    0.00    0.00  262658         std::stack<int, std::deque<int, std::allocator<int> > >::empty() const [128]
                0.00    0.00  262658/263172      std::deque<int, std::allocator<int> >::empty() const [123]
-----------------------------------------------
                0.00    0.00  262657/262657      std::deque<int, std::allocator<int> >::back() [130]
[129]    0.0    0.00    0.00  262657         std::_Deque_iterator<int, int&, int*>::operator--() [129]
                0.00    0.00    2050/4128        std::_Deque_iterator<int, int&, int*>::_M_set_node(int**) [176]
-----------------------------------------------
                0.00    0.00  262657/262657      std::stack<int, std::deque<int, std::allocator<int> > >::top() [131]
[130]    0.0    0.00    0.00  262657         std::deque<int, std::allocator<int> >::back() [130]
                0.00    0.00  262657/262659      std::deque<int, std::allocator<int> >::end() [127]
                0.00    0.00  262657/262657      std::_Deque_iterator<int, int&, int*>::operator--() [129]
                0.00    0.00  262657/263170      std::_Deque_iterator<int, int&, int*>::operator*() const [125]
-----------------------------------------------
                0.00    0.00  262657/262657      Graph::Graph::isEulerianCircuit() const [9]
[131]    0.0    0.00    0.00  262657         std::stack<int, std::deque<int, std::allocator<int> > >::top() [131]
                0.00    0.00  262657/262657      std::deque<int, std::allocator<int> >::back() [130]
-----------------------------------------------
                0.00    0.00  131328/262656      Graph::Graph::isEulerianCircuit() const [9]
                0.00    0.00  131328/262656      std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [70]
[132]    0.0    0.00    0.00  262656         bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [132]
                0.00    0.00  525312/1431920     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [106]
-----------------------------------------------
                0.00    0.00  262656/262656      Graph::Graph::printGraph() const [42]
[133]    0.0    0.00    0.00  262656         std::vector<int, std::allocator<int> >::operator[](unsigned long) const [133]
-----------------------------------------------
                0.00    0.00   65562/262248      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*) [146]
                0.00    0.00  196686/262248      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [147]
[134]    0.0    0.00    0.00  262248         int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [134]
                0.00    0.00  262248/1431920     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [106]
-----------------------------------------------
                0.00    0.00  196992/196992      std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [144]
[135]    0.0    0.00    0.00  196992         std::remove_reference<int&>::type&& std::move<int&>(int&) [135]
-----------------------------------------------
                0.00    0.00    5149/185701      void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [76]
                0.00    0.00  180552/185701      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag) [13]
[136]    0.0    0.00    0.00  185701         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [136]
                0.00    0.00  371402/1431920     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [106]
-----------------------------------------------
                0.00    0.00       2/131844      std::deque<int, std::allocator<int> >::~deque() [288]
                0.00    0.00       4/131844      std::deque<int, std::allocator<int> >::_M_pop_front_aux() [95]
                0.00    0.00     509/131844      std::deque<int, std::allocator<int> >::pop_front() [85]
                0.00    0.00    1025/131844      std::deque<int, std::allocator<int> >::_M_pop_back_aux() [79]
                0.00    0.00  130304/131844      std::deque<int, std::allocator<int> >::pop_back() [68]
[137]    0.0    0.00    0.00  131844         std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() [137]
-----------------------------------------------
                0.00    0.00  131329/131329      main [1]
[138]    0.0    0.00    0.00  131329         std::vector<int, std::allocator<int> >::operator[](unsigned long) [138]
-----------------------------------------------
                0.00    0.00       1/131329      void std::reverse<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [72]
                0.00    0.00  131328/131329      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>) [12]
[139]    0.0    0.00    0.00  131329         std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [139]
-----------------------------------------------
                0.00    0.00  131328/131328      Graph::Graph::isEulerianCircuit() const [9]
[140]    0.0    0.00    0.00  131328         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator<int*>(__gnu_cxx::__normal_iterator<int*, __gnu_cxx::__enable_if<std::__are_same<int*, int*>::__value, std::vector<int, std::allocator<int> > >::__type> const&) [140]
                0.00    0.00  131328/1431920     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [106]
-----------------------------------------------
                0.00    0.00  131124/131124      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::move<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [150]
[141]    0.0    0.00    0.00  131124         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [141]
-----------------------------------------------
                0.00    0.00   65665/65665       void std::__reverse<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::random_access_iterator_tag) [73]
[142]    0.0    0.00    0.00   65665         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--() [142]
-----------------------------------------------
                0.00    0.00   65665/65665       void std::__reverse<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::random_access_iterator_tag) [73]
[143]    0.0    0.00    0.00   65665         bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [143]
                0.00    0.00  131330/1431920     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [106]
-----------------------------------------------
                0.00    0.00   65664/65664       void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [75]
[144]    0.0    0.00    0.00   65664         std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [144]
                0.00    0.00  196992/196992      std::remove_reference<int&>::type&& std::move<int&>(int&) [135]
-----------------------------------------------
                0.00    0.00   65562/65562       int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*) [149]
[145]    0.0    0.00    0.00   65562         int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [145]
-----------------------------------------------
                0.00    0.00   65562/65562       __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [147]
[146]    0.0    0.00    0.00   65562         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*) [146]
                0.00    0.00   65562/262248      int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [134]
                0.00    0.00   65562/393780      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const [113]
-----------------------------------------------
                0.00    0.00   65562/65562       __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::move<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [150]
[147]    0.0    0.00    0.00   65562         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [147]
                0.00    0.00  196686/262248      int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [134]
                0.00    0.00   65562/65562       int* std::__copy_move_a1<true, int*, int*>(int*, int*, int*) [148]
                0.00    0.00   65562/65562       __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*) [146]
-----------------------------------------------
                0.00    0.00   65562/65562       __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [147]
[148]    0.0    0.00    0.00   65562         int* std::__copy_move_a1<true, int*, int*>(int*, int*, int*) [148]
                0.00    0.00   65562/65562       int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*) [149]
-----------------------------------------------
                0.00    0.00   65562/65562       int* std::__copy_move_a1<true, int*, int*>(int*, int*, int*) [148]
[149]    0.0    0.00    0.00   65562         int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*) [149]
                0.00    0.00   65562/65562       int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [145]
-----------------------------------------------
                0.00    0.00   65562/65562       std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [70]
[150]    0.0    0.00    0.00   65562         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::move<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [150]
                0.00    0.00  131124/131124      __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [141]
